Date,Symbol,Open,High,Low,Close,Volume,Marketcap
2018-11-05,AAPL,204.3,204.39,198.17,201.59,51670747,10416305887.73
2018-11-06,AAPL,201.92,204.72,201.69,203.78,27934956,5692585333.68
2018-11-07,AAPL,205.89,210.01,204.13,209.91,26705827,5605820145.57
2018-11-08,AAPL,209.94,210.12,206.75,208.49,19216333,4006413267.17
2018-11-09,AAPL,205.55,206.01,202.25,204.47,23852926,4877207779.22
2018-11-12,AAPL,198.9,199.85,193.79,194.2,40614690,7887372798
2018-11-13,AAPL,191.63,197.18,191.4501,192.23,35553485,6834446421.55
2018-11-14,AAPL,193.9,194.48,185.93,186.76,57202350,10683110886
2018-11-15,AAPL,188.39,193.99,186.9,191.5,42306727,8101738220.5
2018-11-16,AAPL,190.5,194.9695,189.46,193.58,34044307,6590296949.06
2018-11-19,AAPL,190,190.7,184.99,185.85,37092706,6893679410.1
2018-11-20,AAPL,178.37,181.47,175.51,177.01,63109179,11170955774.79
2018-11-21,AAPL,179.73,180.27,176.55,176.82,27395649,4844098656.18
2018-11-23,AAPL,174.94,176.595,172.1,172.25,21939557,3779088693.25
2018-11-26,AAPL,174.24,174.95,170.26,174.58,40367186,7047303331.88
2018-11-27,AAPL,171.51,174.77,170.88,174.245,37132335,6470123712.075
2018-11-28,AAPL,176.73,181.29,174.93,180.96,42264101,7648111716.96
2018-11-29,AAPL,182.66,182.8,177.7,179.55,38797596,6966108361.8
2018-11-30,AAPL,180.29,180.33,177.03,178.6,28559844,5100788138.4
2018-12-03,AAPL,184.46,184.94,181.21,184.93,35606774,6584760715.82
2018-12-04,AAPL,180.95,182.3899,176.27,176.67,35659368,6299940544.56
2018-12-06,AAPL,171.76,174.78,170.42,174.77,38911135,6800499063.95
2018-12-07,AAPL,173.49,174.49,168.3,168.38,37358874,6290487204.12
2018-12-10,AAPL,165,170.09,163.33,169.61,57206552,9702803284.72
2018-12-11,AAPL,171.66,171.79,167,168.67,41305424,6966985866.08
2018-12-12,AAPL,170.4,171.92,169.02,169.04,30803351,5206998453.04
2018-12-13,AAPL,170.49,172.57,169.22,170.82,29424166,5026236036.12
2018-12-14,AAPL,169,169.08,165.28,165.4,36692953,6069014426.2
2018-12-17,AAPL,165.45,168.35,162.73,163.97,37985427,6228470465.19
2018-12-18,AAPL,165.38,167.53,164.39,165.87,29845988,4950554029.56
2018-12-19,AAPL,166,167.45,158.7,160.76,41382586,6652664525.36
2018-12-20,AAPL,160.4,162.11,155.3,156.84,58947341,9245300962.44
2018-12-21,AAPL,156.86,158.16,149.63,150.85,72723677,10970366675.45
2018-12-24,AAPL,148.15,151.55,146.44,146.62,34312501,5030898896.62
2018-12-26,AAPL,148.3,157.22,146.72,157.18,52488787,8250187540.66
2018-12-27,AAPL,155.84,156.77,150.07,156.12,46950454,7329904878.48
2018-12-28,AAPL,157.47,158.52,154.55,156.07,37588889,5866497906.23
2018-12-31,AAPL,158.53,159.36,156.51,156.7,29014557,4546581081.9
2019-01-02,AAPL,154.89,158.85,154.23,157.5225,27803621,4379695888.9725
2019-01-03,AAPL,143.98,145.72,142,142.29,82418448,11727320965.92
